종목명,종목코드,짧은 요약
넷마블,251270,"넷마블은 모바일 게임을 만드는 회사로, ‘세븐나이츠’, ‘BTS월드’ 같은 게임이 유명해. 여러 자회사를 통해 게임 개발을 하고, 블록체인과 가상인간 같은 새로운 기술에도 투자하고 있어."
노루페인트,90350,"노루페인트는 건축용이나 자동차용, 휴대폰용 페인트를 만드는 회사야. 글로벌 기업들과 협력해 친환경 도료 개발에도 적극적이고, 다양한 산업에 맞는 맞춤형 도료도 생산하고 있어."
노루홀딩스,320,"노루홀딩스는 노루페인트 등을 소유한 지주회사로, 농업, 생명과학 분야까지 다양한 사업을 관리하고 있어. 브랜드와 경영 전략을 중심으로 자회사들의 성장을 이끌고 있어."
녹십자,6280,"녹십자는 혈액제제와 백신을 만드는 제약회사야. 알부민, 면역글로불린 같은 제품을 생산하고, 유전자 진단 서비스도 제공하고 있어. 감염병 대응에도 강점을 가진 회사야."
녹십자홀딩스,5250,"녹십자홀딩스는 녹십자를 중심으로 여러 자회사들을 지배하는 지주회사야. 전체 전략과 투자 포트폴리오를 관리하면서, 헬스케어 분야의 전반적인 성장을 이끌고 있어."
농심,4370,"농심은 신라면으로 유명한 식품회사야. 라면, 스낵, 음료 같은 다양한 제품을 만들고 있고, 품질관리와 안전성 확보에도 많은 노력을 하고 있어. 새로운 식품 시장도 계속 개척 중이야."
농심홀딩스,72710,"농심홀딩스는 농심을 중심으로 식품, 엔지니어링, 레저 등 여러 분야 자회사들을 관리하는 지주회사야. 그룹 전체의 수익성과 효율성을 높이기 위해 전략적으로 운영하고 있어."
다스코,58730,"다스코는 도로 안전시설을 만드는 전문 기업으로, 방음벽이나 건축 자재인 데크플레이트를 주로 생산해. 최근에는 태양광 발전 사업에도 적극 나서서 방음벽에 태양광을 접목한 제품도 개발하고 있어. 신재생에너지와 기존 사업을 결합해 기술 경쟁력을 높이려 하고 있어."
다올투자증권,30210,"다올투자증권은 원래 기술개발회사로 시작했지만 지금은 금융투자와 자산관리를 전문으로 하는 증권사야. 기업금융, 채권, 주식 중개 외에도 대체투자 자문과 파생상품 설계도 하고 있어. 개인 맞춤형 금융서비스 강화에도 집중하고 있어."
다우기술,23590,"다우기술은 IT서비스와 금융을 아우르는 기업으로, 문자메시지 발송 시스템 ‘뿌리오’와 쇼핑몰 관리 솔루션 ‘사방넷’ 같은 서비스를 제공해. 금융 부문은 키움증권을 중심으로 다양한 금융 자회사를 운영하고 있어. IT와 금융의 시너지를 통해 종합 서비스 기업으로 성장 중이야."
다이나믹디자인,145210,"다이나믹디자인은 타이어 금형을 전문으로 만드는 회사야. 타이어 모양과 성능을 결정짓는 핵심 부품을 생산하며, 중국, 러시아, 멕시코 등지에 생산기지를 운영하고 있어. 글로벌 타이어 제조사들과 협업하며 시장을 확대하고 있어."
대교,19680,"대교는 ‘눈높이’ 학습으로 유명한 교육기업이야. 어린이부터 시니어까지 다양한 교육 콘텐츠를 제공하고, 디지털 전환을 통해 온라인 학습도 강화하고 있어. 해외 진출과 교육출판 사업도 함께 진행하고 있어."
대구백화점,6370,"대구백화점은 대구 지역을 기반으로 한 전통 있는 유통회사야. 백화점, 마트, 아울렛을 운영하고 있고, 지역 밀착형 브랜드와 매장을 통해 고객 중심 경영을 실천하고 있어. 오랜 업력을 바탕으로 지역 경제에 기여하고 있어."
대덕,8060,"대덕은 원래 PCB 제조를 하다가 지주회사로 전환된 기업이야. 자회사들이 반도체 기판과 통신 부품을 만들고 있고, 인공지능 서버나 자율주행 시스템에 필요한 첨단 부품에도 진출했어. 수익은 주로 배당, 상표권 수입 등에서 발생해."
대덕전자,353200,"대덕전자는 PCB 전문 제조사로, 반도체 패키지에 쓰이는 기판이나 다층기판을 만들어. 고속·대용량·초박형 기판 같은 첨단 기술에도 대응할 수 있는 생산력을 갖추고 있어. 데이터센터나 자율주행 관련 산업에 필요한 제품을 공급하고 있어."
대동,490,"대동은 트랙터, 콤바인 같은 농기계를 만드는 회사야. 70년 가까운 역사를 가진 기업으로, 최근에는 자율주행 농기계나 스마트팜 관련 기술도 개발하고 있어. 농업의 디지털화를 선도하는 데 목표를 두고 있어."
대동전자,8110,"대동전자는 TV 프레임, 헤드폰 같은 전자제품 외관 부품을 만드는 회사야. 고광택 성형, 소형 정밀 성형 같은 특수 기술도 갖추고 있고, 최근에는 고부가가치 제품 쪽으로 사업을 확장하고 있어. 상하이 법인을 매각하며 사업 구조를 재정비 중이야."
대림바스,5750,"대림바스는 욕실 전문 기업으로, 세면기나 변기 같은 위생도기를 만들고 있어. 욕실 인테리어와 홈케어 서비스, 생활가전 렌탈 사업도 하고 있어. 디자인과 고급화 전략을 통해 생활문화를 선도하고 있어."
대림통상,6570,"대림통상은 수전금구, 샤워기 같은 욕실 자재를 생산하고, 비데, 감지기 등 위생용품도 만들어. 오랜 업력으로 품질 경쟁력을 인정받고 있고, 친환경 제품 개발에도 힘을 쏟고 있어. 주방용품과 수출도 함께 진행해."
대상,1680,"대상은 ‘청정원’ 브랜드로 잘 알려진 식품회사야. 고추장, 간장 같은 장류부터 즉석식품까지 다양한 제품을 생산하고 있어. 동시에 전분당, MSG 같은 바이오소재도 만들어서 식품과 바이오를 함께 영위하는 복합 식품기업이야."
대상홀딩스,84690,"대상홀딩스는 대상의 지주회사로, 자회사 경영을 총괄하고 자금 지원이나 전략 수립을 담당해. 여러 자회사들과의 시너지 효과를 통해 수익성과 안정성을 높이고 있어. 투자와 컨설팅 역할도 함께 하고 있어."
대성산업,128820,"대성산업은 에너지 전문기업으로, 주유소와 가스충전소를 운영하고 있어. 보일러 제조, LNG 발전소 운영도 하고 있고, 최근엔 친환경 보일러와 히트펌프 같은 청정에너지 기술도 도입 중이야. 해외 자원개발도 함께 진행하고 있어."
대성에너지,117580,"대성에너지는 도시가스를 공급하는 회사야. 가정이나 산업 현장에 천연가스를 공급하고, 발전소도 운영하고 있어. 정부 고시 단가로 안정적인 수익을 보장받고 있어서 경기에 크게 영향을 받지 않아."
대성홀딩스,16710,"대성홀딩스는 대성에너지 같은 자회사들을 관리하는 지주회사야. 도시가스 외에도 콜센터, IT, 건물관리 같은 다양한 사업도 함께 하고 있어. 전체적인 경영 전략을 수립하고 자회사들의 효율을 높이는 데 집중하고 있어."
대신증권,3540,"대신증권은 종합 금융투자 회사로, 개인 투자부터 기업금융, 자산운용까지 다양한 사업을 하고 있어. 여러 자회사와 해외 법인을 통해 글로벌 자산관리도 하고 있고, 리스크 관리 체계를 통해 안정적인 경영을 추구하고 있어."
대양금속,9190,"대양금속은 스테인리스 냉연강판을 만드는 회사로, 얇고 폭이 좁은 강판 제조에 강점을 가지고 있어. 생산 제품의 절반 이상을 유럽, 동남아, 북미 등 해외에 수출하고 있어. 다양한 재질과 규격을 유연하게 생산할 수 있는 시스템이 장점이야."
대영포장,14160,"대영포장은 골판지 상자 전문 제조업체로, 제품 포장에 꼭 필요한 상자를 생산하고 있어. 고품질, 다품종 생산 능력을 바탕으로 업계 상위권을 유지하고 있고, 3중 골판지 시장에서도 경쟁력이 높아."
대우건설,47040,"대우건설은 토목, 건축, 플랜트 등 종합건설을 하는 대형 건설회사야. 도로, 철도, 아파트뿐 아니라 석유화학 플랜트나 발전소도 짓고 있어. 최근엔 신재생에너지 분야 진출을 본격화하고 있어."
대웅,3090,"대웅은 대웅제약, 대웅바이오 같은 자회사를 둔 지주회사야. 헬스케어 분야에서 글로벌 기업으로 성장하려고 하고, 자회사들을 통해 의약품, 바이오 등 다양한 영역에서 사업을 하고 있어. 경영 효율화와 수익 극대화가 목표야."
대웅제약,69620,"대웅제약은 우루사, 나보타, 펙수클루 같은 의약품을 만드는 제약회사야. KGMP 인증을 받은 공장에서 생산하고, AI 기반 디지털 헬스케어도 연구 중이야. 고령화 사회에 맞는 의약품과 혁신 신약 개발에 집중하고 있어."
대원강업,430,"대원강업은 자동차 스프링이나 시트를 만드는 부품회사야. 국내 공장뿐 아니라 미국, 인도, 폴란드 등 해외 공장도 운영하면서 글로벌 공급망을 갖추고 있어. 국내에서는 유일한 종합 스프링 메이커야."
대원전선,6340,"대원전선은 전력 케이블과 통신선 같은 전선을 만드는 회사야. 다양한 산업에 쓰이는 고부가가치 전선을 생산하고, 자동차 전선 쪽으로도 사업을 확장하고 있어. 국가 기간산업의 기반 역할을 하는 기업이야."
대원제약,3220,"대원제약은 코감기약, 진통제 같은 의약품을 중심으로 건강기능식품, 화장품도 함께 생산하는 제약회사야. 최근에는 외부 위탁생산(CMO) 사업도 강화하면서 해외 진출과 사업 다변화를 꾀하고 있어. GMP 인증 받은 생산설비도 보유하고 있어."
대원화성,24890,"대원화성은 인조 가죽을 만드는 회사야. 이 가죽은 운동화나 자동차 안쪽, 운동할 때 쓰는 공 같은 데에 사용돼. 외국에도 공장이 있고, 환경을 생각하는 재료도 열심히 만들고 있어."
대유에이텍,2880,"대유에이텍은 자동차 안에 들어가는 의자, 즉 시트를 만드는 회사야. 기아 자동차랑 협력해서 멋지고 편안한 의자를 만들고 있지. 회사 안 분위기도 좋아서 다들 사이좋게 일하고 있어."
대창,12800,"대창은 구리 같은 금속을 다듬어서 전자기기나 자동차에 들어가는 부품을 만들어. 특히 황동봉을 아주 많이 만들고, 환경을 생각한 새로운 금속도 연구 중이야."
대창단조,15230,"대창단조는 자동차 엔진 안에 들어가는 아주 튼튼한 부품들이나, 큰 중장비에 들어가는 부품들을 만들어. 기계가 자동으로 움직이는 똑똑한 공장도 있어."
대한방직,1070,"대한방직은 실과 천을 만드는 회사야. 실을 염색하고 예쁘게 가공해서 옷이나 커튼 같은 걸 만드는 데 쓰이게 하지. 중국에도 자회사가 있고, 인터넷으로도 팔고 있어."
대한유화,6650,"대한유화는 석유에서 나온 재료로 플라스틱 같은 화학 제품을 만드는 회사야. 공장이 울산과 온산에 있고, 품질 좋은 제품을 많이 만들고 있어."
대한전선,1440,"대한전선은 전기를 멀리 보내는 전선을 만드는 회사야. 아주 강력한 전선도 만들 수 있고, 외국으로도 많이 보내고 있어. 기술이 아주 좋아서 특별한 전선도 만들 수 있어."
대한제강,84010,"대한제강은 철을 녹여서 건물 지을 때 쓰는 철근을 만드는 회사야. 공장이 부산과 평택에 있고, 다른 나라에도 물건을 보내고 있어. 한국에서 세 번째로 철근을 많이 만든대."
대한제당,1790,"대한제당은 설탕과 동물 사료, 고기 같은 걸 만들어서 파는 회사야. 최근엔 다른 회사를 사서 더 큰 식품 회사를 만들고 있어. 돈을 아끼면서 안정적으로 운영하고 있어."
대한제분,1130,대한제분은 ‘곰표 밀가루’로 유명한 회사야. 밀가루뿐 아니라 반려동물 먹이나 음료도 만들고 있대. 70년 넘게 밀가루를 만들어온 아주 오래된 회사야.
대한항공,3490,"대한항공은 비행기를 타고 여행할 수 있게 해주는 회사야. 160대가 넘는 비행기가 있고, 한국뿐 아니라 전 세계 여러 나라로 날아가. 사람도 실어나르고, 짐도 많이 나른대."
대한해운,5880,대한해운은 바다에서 큰 배로 철광석이나 기름 같은 걸 실어 나르는 회사야. 포스코나 가스공사 같은 큰 회사랑 계약을 맺고 안정적으로 일하고 있어.
대한화섬,3830,대한화섬은 합성섬유를 만들어서 옷이나 다른 섬유 제품에 쓰이는 실을 만든대. 환경도 생각하면서 이익도 많이 남는 제품을 만들려고 노력하고 있어.
대현,16090,대현은 여성 옷을 디자인하고 파는 회사야. 여러 브랜드가 있어서 백화점이나 인터넷에서 쇼핑할 수 있어. 요즘엔 온라인에서도 쉽게 살 수 있게 바꾸고 있대.
대호에이엘,69460,"대호에이엘은 알루미늄으로 만든 판이나 코일을 만드는 회사야. 냉장고나 자동차 같은 데 들어가는 재료고, 앞으로 더 첨단 제품을 만드는 쪽으로 사업을 넓히고 있어."
더본코리아,475560,"더본코리아는 빽다방이나 홍콩반점처럼 맛있는 음식을 파는 가게들을 운영해. 프랜차이즈라서 여러 곳에 있고, 집에서 간편하게 먹을 수 있는 음식도 팔고 있어."
더블유게임즈,192080,"더블유게임즈는 핸드폰에서 할 수 있는 카지노 게임을 만드는 회사야. 미국에도 회사를 두고 있고, 더 재미있는 새 게임을 만들려고 노력하고 있어."
더존비즈온,12510,더존비즈온은 회사들이 일을 쉽게 할 수 있도록 도와주는 컴퓨터 프로그램을 만들어. 요즘은 인공지능도 연구하고 있어서 더 똑똑한 서비스를 제공하려고 해.
덕성,4830,덕성은 인조가죽을 만드는 회사야. 환경을 보호하는 제품을 만들기 위해 열심히 연구하고 있어. 공장도 여러 곳에 있어서 물건을 잘 만들 수 있어.
디와이덕양,24900,"디와이덕양은 자동차 안쪽에 들어가는 부품을 만드는 회사야. 현대자동차에 부품을 주고 있고, 외국에도 부품을 보내고 있어. 새 자동차 만들 때부터 함께 준비하기도 해."
덴티움,145720,"덴티움은 치과에서 쓰는 임플란트와 장비를 만드는 회사야. 세계 여러 나라에도 제품을 보내고, 기술이 뛰어나서 오랫동안 믿고 사용할 수 있어."
도화엔지니어링,2150,"도화엔지니어링은 도로, 다리, 건물 같은 걸 설계하는 똑똑한 기술자들이 모인 회사야. 다른 나라에도 일을 하러 가고, 태양광 같은 신재생에너지 쪽으로도 일하고 있어."
동국씨엠,460850,"동국씨엠은 철판에 색을 입혀서 예쁘게 만든 컬러강판을 만드는 회사야. 건물 외벽이나 가전제품에 쓰이고, 세계에서 제일 큰 컬러강판 회사가 되려고 해."
동국제강,460860,"동국제강은 철을 녹여서 다양한 철 제품을 만드는 회사야. 환경을 생각해서 친환경 철강을 만들고 있고, 스마트 공장도 운영해서 품질이 아주 좋아."
동국홀딩스,1230,"동국홀딩스는 철강 관련 여러 회사를 관리하는 본사 같은 곳이야. 새로운 사업도 찾고, 다른 회사들이 잘 운영되도록 도와주는 역할을 해."
동남합성,23450,동남합성은 세제처럼 때를 잘 지우는 물질인 계면활성제를 만드는 회사야. 환경에 해가 적은 제품을 만들어서 지구도 생각하고 있어.
동방,4140,"동방은 큰 짐을 항구에서 옮기거나 트럭, 배로 실어나르는 물류 회사야. 멋진 장비와 인프라로 다른 회사보다 더 똑똑하게 물건을 옮겨."
동방아그로,7590,동방아그로는 농약이랑 비료를 만드는 회사야. 환경을 해치지 않으면서도 효과가 좋은 농약을 개발하려고 하고 있어. 자동화된 공장도 있어서 잘 만들 수 있어.
동부건설,5960,동부건설은 도로를 만들거나 건물을 짓는 건설 회사야. 친환경 건축과 안전한 시공에 신경을 많이 쓰고 있어. 부동산과 엔지니어링 사업도 함께 해.
동서,26960,"동서는 커피, 차, 포장재 같은 걸 만드는 식품 회사야. 포장 기술이 뛰어나고, 새로운 제품을 만들기 위해 열심히 연구하고 있어. 건강한 음료도 많아."
동성제약,2210,"동성제약은 약을 만드는 회사야. 머리 염색약이나 화장품도 만들고 있어. 전국에 공장이 있고, 피부에 좋은 기능성 제품도 많이 연구 중이야."
동성케미컬,102260,"동성케미컬은 석유에서 나온 재료로 여러 가지 화학 제품을 만드는 회사야. 환경을 생각한 포장재도 개발하고 있고, 화학 쪽에서는 꽤 유명해."
동아쏘시오홀딩스,640,"동아쏘시오홀딩스는 여러 자회사를 가진 큰 회사로, 약, 생수, 바이오 제품 같은 걸 관리하고 있어. 투명하고 책임감 있는 경영을 중요하게 생각해."
동아에스티,170900,동아에스티는 병원에서 쓰는 전문 의약품을 만드는 회사야. 당뇨나 비만 같은 병을 고치는 약도 개발하고 있어. 연구개발에 투자를 많이 하고 있어.
동아지질,28100,"동아지질은 터널을 뚫거나 땅을 다지는 공사를 전문으로 하는 회사야. 지반 조사부터 설계, 공사까지 전부 직접 해줘서 믿을 수 있는 회사야."
동양,1520,"동양은 시멘트, 아파트, 섬유, 기계까지 다양한 걸 만드는 회사야. 고객이 원하는 걸 잘 맞춰주는 똑똑한 회사가 되려고 해."
동양고속,84670,"동양고속은 사람들이 버스를 타고 편하게 이동할 수 있도록 해주는 회사야. 260대의 버스를 가지고 있고, 정비소도 함께 운영해서 안전하게 탈 수 있어."
동양생명,82640,동양생명은 보험회사야. 아프거나 다쳤을 때 도와주는 보장성 보험과 노후 준비를 위한 저축성 상품을 팔고 있어. 여러 가지 자산도 운영해.
동양철관,8970,"동양철관은 철로 된 파이프를 만드는 회사야. 건물 짓는 데도 쓰이고, 바람 발전기 아래쪽에도 쓰여. 다른 나라에도 많이 보내고 있어."
DYP,92780,"DYP는 자동차 엔진 안에 들어가는 피스톤을 만드는 회사야. 세계 여러 자동차 회사에 납품하고 있고, 수소차 같은 친환경 자동차 부품도 만들어."
동원F&B,49770,"동원F&B는 우리가 잘 아는 참치캔을 만드는 회사야. 그 외에도 김치, 반찬, 건강식품, 반려동물 간식까지 다양한 음식을 만들어. 새롭고 건강한 음식도 계속 연구해."
동원금속,18500,동원금속은 자동차 문짝 안에 들어가는 부품을 만드는 회사야. 전기차 배터리 관련 부품도 연구 중이어서 미래를 준비하고 있어.
동원산업,6040,동원산업은 참치를 직접 잡아서 통조림이나 다른 음식으로 가공하는 회사야. 물고기를 많이 잡아도 바다를 아끼려고 친환경 어업도 지켜.
동원수산,30720,"동원수산은 수산물을 가공해서 팔거나 수출하는 회사야. 참치를 많이 다루고, 외국에도 회사를 두고 있어. 한국에서 먹는 회도 여기서 올 수 있어."
동원시스템즈,14820,"동원시스템즈는 음식 포장재를 만드는 회사야. 알루미늄이나 투명 플라스틱 병도 만들고, 친환경 포장재도 열심히 연구하고 있어."
동인기연,111380,"동인기연은 배낭이나 텐트에 들어가는 알루미늄 부품을 만들어. 세계 여러 브랜드에 물건을 공급하고 있고, 더 다양한 캠핑용품도 만들 계획이야."
동일고무벨트,163560,"동일고무벨트는 고무로 만든 벨트나 기계 부품을 만드는 회사야. 공장을 자동으로 움직이게 해서 품질을 좋게 만들고, 환경도 생각해."
동일산업,4890,동일산업은 철을 이용해 자동차나 건설 기계에 들어가는 부품을 만드는 회사야. 자회사를 통해 자동차 부품도 함께 만들고 있어.
동일제강,2690,동일제강은 철선을 만드는 회사야. 이 선은 건설이나 기계 부품에 쓰여. 경쟁사보다 더 좋은 품질로 시장에서 앞서가려고 해.
동화약품,20,"동화약품은 아주 오래된 약 회사야. 소화제 같은 일반약부터 건강기능식품, 의료기기까지 다양하게 만들고 있어. 외국으로도 팔고 있어."
두산,150,"두산은 1933년에 설립된 두산그룹의 중심 회사로, 전자소재와 IT서비스를 직접 운영하고 있어. 자회사들은 발전설비, 연료전지, 반도체 테스트, 건설기계 등 다양한 산업에서 활동하고 있어. 특히 5G와 친환경 자동차에 들어가는 핵심소재 CCL을 생산하며 미래 성장동력도 준비하고 있어. 전체적으로 전통 제조와 첨단 기술을 동시에 아우르는 종합 기업이야."
두산로보틱스,454910,"두산로보틱스는 2015년에 설립된 협동로봇 전문 기업으로, 사람과 함께 작업하는 로봇을 만든단다. 다양한 모델을 개발해서 국내외 박람회에 참가하며 세계 시장에 빠르게 진출했어. 인공지능과 소프트웨어, 로봇 팔 기술을 하나로 묶은 지능형 로봇 솔루션을 개발하고 있어. 최근에는 글로벌 Top 4 안에 들 정도로 빠르게 성장 중이야."
두산밥캣,241560,"두산밥캣은 2014년에 만들어진 건설기계 전문 회사로, 특히 소형 장비를 중심으로 북미와 유럽에서 큰 인기를 끌고 있어. 콘크리트 작업이나 조경, 농업용 장비 등을 만들고, 신제품과 안전성 향상에도 힘을 쏟고 있어. 미국을 중심으로 전 세계에 공장이 있고, 소형 장비 시장에서 입지가 강해. 두산그룹 내에서도 글로벌 비중이 높은 자회사야."
두산에너빌리티,34020,"두산에너빌리티는 원래 두산중공업이란 이름으로 알려졌던 회사로, 발전소와 해수 담수화 설비 등을 만드는 중공업 회사야. 1962년 시작해서 지금은 친환경 에너지 사업도 함께 하며 이름을 바꿨지. 대형 플랜트를 짓고 운영하는 EPC 기술력이 강점이며, 수소발전 등 신재생 분야로도 확장 중이야. 환경을 생각한 녹색경영을 추구하고 있어."
두산퓨얼셀,336260,"두산퓨얼셀은 연료전지를 전문으로 하는 회사로, 두산에서 2019년 분사해 독립했어. 발전소에 들어가는 연료전지를 만들고 유지보수도 직접 하며 국내 시장에서 점유율 1위를 기록 중이야. 수소 경제가 주목받으면서 친환경 차량용 연료전지나 고체산화물 연료전지(SOFC)도 개발하고 있어. 앞으로 수소 관련 기술을 이끄는 기업으로 성장하려 해."
두올,16740,"두올은 자동차 안에 들어가는 원단, 시트커버, 에어백 등 내장재를 만드는 회사야. 전 세계 25개의 자회사를 운영하며, 친환경 소재나 재활용 소재로 만든 제품도 개발하고 있어. 천연섬유와 단일소재 원단으로 친환경 자동차 시장에 대응하고, 특허도 많이 출원했어. 기술력과 환경을 동시에 생각하는 자동차 부품 전문회사야."
드림텍,192650,"드림텍은 스마트폰이나 웨어러블 기기에 들어가는 전자부품을 만드는 회사야. 생체 인식 모듈, 카메라 모듈, 기판 모듈 등을 직접 개발해서 공급하고 있어. 한국에서는 개발과 샘플 제작을 하고, 실제 양산은 주로 베트남 공장에서 이루어져. 기술력과 생산 효율성을 함께 갖춘 EMS, ODM 전문 기업이야."
디씨엠,24090,디씨엠은 철판이나 필름에 코팅을 입힌 고급소재를 만들어서 가전제품이나 건축 자재로 공급해. 예를 들어 냉장고 겉면이나 주방가구에 쓰이는 라미네이팅 강판이 대표 제품이야. 저탄소 친환경 제품을 개발하고 기술도 계속 향상시켜서 매출처를 넓히고 있어. 철강과 필름을 접목한 고부가 소재에 강점을 가진 회사야.
디아이,3160,"디아이는 반도체를 검사하는 장비를 만드는 전문 회사야. 반도체 메모리 검사기, 테스트 보드 같은 제품이 주력이야. 국내에서 이 분야 점유율이 가장 높고, 환경 관련 사업이나 음향·영상 기기도 함께 하고 있어. 다양한 기술과 사업 포트폴리오를 가진 중견 기업이야."
디아이씨,92200,"디아이씨는 자동차와 중장비 부품을 만드는 회사로, 특히 기어 분야에서 강점이 있어. 전기차나 수소차에도 들어가는 부품을 생산할 수 있는 체계를 만들었어. 울산 본사와 여러 공장에서 생산하고, 미국 켄터키에서도 부품 생산을 시작했지. 글로벌 자동차 산업에 맞춰 진화하고 있는 부품 기업이야."
디앤디플랫폼리츠,377190,
디와이,13570,"디와이는 오래된 제조업 기반의 지주회사로, 콘크리트 펌프카나 크레인 같은 산업기계를 주로 만들어. 자동차 부품과 유압기기도 함께 생산하고 있어. 중국과 인도에 생산기지를 세워 글로벌 사업도 확장 중이야. 기술력과 품질로 경쟁력을 높이려 하고 있어."
디와이파워,210540,"디와이파워는 유압 실린더 전문 회사로, 건설기계에 들어가는 중요한 부품을 만들어. 현대건설기계, 두산밥캣 같은 회사들이 주요 고객이야. 중국과 인도에 공장이 있어, 세계 시장에서도 실린더를 생산하고 팔고 있어. 중장비 핵심 부품 분야에서 입지를 넓히고 있어."
롯데관광개발,32350,"롯데관광개발은 여행, 호텔, 카지노 같은 관광 산업을 주로 하는 회사야. 제주도에 있는 드림타워 복합리조트를 중심으로 고급 호텔과 식당, 쇼핑시설을 운영해. 국내외 여행객을 위한 서비스와 여행 알선, 항공권 판매도 하고 있어. 전통 관광사업에서 복합 리조트 중심으로 사업을 키우고 있어."
롯데렌탈,89860,"롯데렌탈은 자동차를 빌려주는 오토렌탈 사업이 중심인데, 사무기기나 장비도 빌려주는 B2B 렌탈도 해. 국내 최대 렌터카 업체 중 하나이고, 중고차 매매 사업도 활발해. 글로벌 브랜드 허츠와 제휴해서 외국에서도 사업을 확장 중이야. 다양한 렌탈 서비스를 종합적으로 제공하는 회사야."
롯데리츠,330590,
롯데손해보험,400,"롯데손해보험은 불이나 자동차 사고 같은 위험에 대비할 수 있는 보험상품을 판매하는 회사야. 화재, 해상, 자동차, 개인연금 등 여러 종류의 보험을 운영하고 있어. 'ALICE' 같은 디지털 플랫폼도 도입해서 보험 가입과 관리를 더 쉽게 하고 있어. 전통 보험에서 디지털 중심으로 전환하며 경쟁력을 높이고 있어."
롯데쇼핑,23530,"롯데쇼핑은 백화점, 마트, 전자제품점, 홈쇼핑 등 다양한 유통 채널을 가진 대형 유통회사야. 전국에 있는 매장 외에도 온라인 쇼핑몰도 운영하면서 온오프라인을 통합해. 소비자 라이프스타일을 반영한 맞춤형 유통 전략을 펼치고 있어. 유통산업의 변화에 발맞춰 디지털 전환과 신사업 발굴도 계속하고 있어."
롯데에너지머티리얼즈,20150,롯데에너지머티리얼즈는 전기차와 인공지능 제품에 들어가는 얇은 전자박(Elecfoil)을 만드는 회사야. 2차전지용 전지박이나 회로용 박판이 주요 제품이야. 말레이시아와 유럽에도 공장을 확장 중이면서 글로벌 시장을 공략하고 있어. 차세대 배터리 소재와 친환경 제품 개발에도 힘쓰고 있어.
롯데웰푸드,280360,"롯데웰푸드는 과자, 아이스크림, 빵, 육가공 같은 다양한 식품을 만들고 팔아. 한국뿐 아니라 60개국 이상에 수출도 하고 있어. 롯데중앙연구소와 협력해서 품질을 높이고 새로운 맛도 개발하고 있어. 글로벌 식품 기업으로 성장하기 위한 기술력과 브랜드를 모두 갖추고 있어."
롯데이노베이트,286940,롯데이노베이트는 회사들의 IT 시스템을 구축하고 운영해주는 회사야. 전기차 충전기나 메타버스 플랫폼 같은 신기술 사업도 함께 하고 있어. 현대정보기술을 흡수합병하면서 IT 경쟁력을 더욱 키웠어. 디지털 기반의 새로운 서비스를 통해 미래 먹거리를 키워가는 중이야.
롯데정밀화학,4000,롯데정밀화학은 기초 화학제품과 친환경 소재를 만들어서 국내외로 공급해. 셀룰로스 계열 제품이나 가성소다 같은 제품이 대표적이야. 새롭게 자회사를 세우고 다양한 용도로 쓸 수 있는 신제품 개발에도 집중하고 있어. 지속 가능한 소재 분야에서 경쟁력을 높이고 있는 화학회사야.
롯데지주,4990,"롯데지주는 여러 롯데 계열사를 관리하는 지주회사로, 이들 회사에서 나오는 수익이 주요 재원이야. 롯데쇼핑, 롯데케미칼, 롯데칠성음료 등 다양한 산업의 자회사를 보유하고 있어. 자회사들이 식품, 유통, 화학 등 다양한 분야에서 활동 중이야. 그룹의 전략을 조정하고 수익구조를 효율적으로 관리하는 역할을 해."
롯데칠성음료,5300,"롯데칠성음료는 탄산음료와 주류를 만드는 회사로, ‘칠성사이다’, ‘처음처럼’ 같은 브랜드가 유명해. 음료 부문과 주류 부문으로 나뉘며, 음료에선 제로 칼로리 제품이 인기를 끌고 있어. 술도 제로 슈거 소주 같은 건강을 생각한 제품이 잘 나가고 있어. 오랜 전통과 브랜드 파워를 가진 종합 음료 회사야."
롯데케미칼,11170,"롯데케미칼은 플라스틱, 고무, 화학 원료 등을 만드는 국내 대표 석유화학 회사야. 여수, 울산 같은 대형 공장에서 대량 생산하고 있어. 환경을 생각한 고부가 소재와 전지소재, 수소에너지 분야에도 진출 중이야. 글로벌 시장에서도 경쟁력을 키우는 중이야."
롯데하이마트,71840,"롯데하이마트는 TV, 냉장고, 세탁기 같은 가전제품을 파는 전문 매장이야. 전국에 수백 개의 오프라인 매장과 온라인 쇼핑몰도 운영해. 요즘은 단순 판매를 넘어서 제품 설치, 청소, 수리 같은 케어서비스까지 제공하고 있어. 가전 유통에서 종합 서비스 기업으로 진화하고 있어."
마니커,27740,"마니커는 닭고기를 직접 키우고 도축해서 가공까지 하는 통합 시스템을 갖춘 회사야. 수도권에 가까운 도계장을 보유해 물류 경쟁력도 있어. 닭을 안정적으로 공급하기 위해 여러 협력 농가와 계약을 맺고 있어. 생닭, 냉동 닭고기, 가공식품 등을 주력으로 판매해."
마스턴프리미어리츠,357430,
만호제강,1080,"만호제강은 와이어로프, 철선, 섬유로프 같은 특수강 제품을 만드는 회사야. 70년 넘는 경험을 바탕으로 조선, 자동차, 건설업계에 제품을 공급하고 있어. 철강뿐 아니라 섬유 관련 제품도 함께 생산하고 있어. 산업 전반의 경기에 영향을 받지만 기술력은 매우 탄탄해."
맥쿼리인프라,88980,
맵스리얼티1,94800,
